,unique,other3set,unique_othercog,other3set_othercog
AA Metab (384),82,302,1009,3425
Transl (174),11,163,1080,3564
Gen Func (718),191,527,900,3200
Energy (329),76,253,1015,3474
Transcription (380),81,299,1010,3428
Lipid Metab (418),85,333,1006,3394
Func Unk (336),73,263,1018,3464
Replic Repair (274),81,193,1010,3534
Post Trans Mod (128),25,103,1066,3624
Carb Metab (230),46,184,1045,3543
Ion Trans (377),91,286,1000,3441
Coenz Trans (164),23,141,1068,3586
Nuc Metab (81),7,74,1084,3653
Cell Wall (187),45,142,1046,3585
Second Metab (328),96,232,995,3495
Signal Trans (125),25,100,1066,3627
Intracell Traff (43),10,33,1081,3694
Defense (100),30,70,1061,3657
Cell Cycle (42),13,29,1078,3698
